,index,ID,Age,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,Income,marital_Single,marital_Married,marital_Together,marital_Divorced,marital_Widow,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Customer_Days,Complain,MntTotal,MntRegularProds,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmpOverall,Response
0,0,5524,67,False,False,True,False,False,58138.0,True,False,False,False,False,0,0,58,7,4342,0,1617,1529,635,88,546,172,88,88,3,8,10,4,0,1
1,1,2174,70,False,False,True,False,False,46344.0,True,False,False,False,False,1,1,38,5,3792,0,27,21,11,1,6,2,1,6,2,1,1,2,0,0
2,2,4141,59,False,False,True,False,False,71613.0,False,False,True,False,False,0,0,26,4,3991,0,776,734,426,49,127,111,21,42,1,8,2,10,0,0
3,3,6182,40,False,False,True,False,False,26646.0,False,False,True,False,False,1,0,26,6,3818,0,53,48,11,4,20,10,3,5,2,2,0,4,0,0
4,4,5324,43,False,False,False,False,True,58293.0,False,True,False,False,False,1,0,94,5,3840,0,422,407,173,43,118,46,27,15,5,5,3,6,0,0
5,5,7446,57,False,False,False,True,False,62513.0,False,False,True,False,False,0,1,16,6,3972,0,716,702,520,42,98,0,42,14,2,6,4,10,0,0
6,6,965,53,False,False,True,False,False,55635.0,False,False,False,True,False,0,1,34,6,4272,0,590,563,235,65,164,50,49,27,4,7,3,7,0,0
7,7,6177,39,False,False,False,False,True,33454.0,False,True,False,False,False,1,0,32,8,4096,0,169,146,76,10,56,3,1,23,2,4,0,4,0,0
8,8,4855,50,False,False,False,False,True,30351.0,False,False,True,False,False,1,0,19,9,4067,0,46,44,14,0,24,3,3,2,1,3,0,2,0,1
9,9,5899,74,False,False,False,False,True,5648.0,False,False,True,False,False,1,1,68,20,3787,0,49,36,28,0,6,1,1,13,1,1,0,0,1,0
10,10,1994,41,False,False,True,False,False,52028.5,False,True,False,False,False,1,0,11,7,3905,0,19,18,5,5,6,0,2,1,1,1,0,2,0,0
11,11,387,48,False,True,False,False,False,7500.0,False,True,False,False,False,0,0,59,8,4272,0,61,45,6,16,11,11,1,16,1,2,0,3,0,0
12,12,2125,65,False,False,True,False,False,63033.0,False,False,False,True,False,0,0,82,2,3905,0,1102,1072,194,61,480,225,112,30,1,3,4,8,0,0
13,13,8180,72,False,False,False,True,False,59354.0,False,False,False,True,False,1,1,53,6,3905,0,310,296,233,2,53,3,5,14,3,6,1,5,0,0
14,14,2569,37,False,False,True,False,False,17323.0,False,True,False,False,False,0,0,38,8,4306,0,46,41,3,14,17,6,1,5,1,1,0,3,0,0
15,15,2114,78,False,False,False,False,True,82800.0,True,False,False,False,False,0,0,23,3,4261,0,1315,1270,1006,22,115,59,68,45,1,7,6,12,2,1
16,16,9736,44,False,False,True,False,False,41850.0,False,True,False,False,False,1,1,51,8,4231,0,96,92,53,5,19,2,13,4,3,3,0,3,0,0
17,17,4939,78,False,False,True,False,False,37760.0,False,False,True,False,False,0,0,20,7,4346,0,317,289,84,5,38,150,12,28,2,4,1,6,0,0
18,18,6565,75,False,False,False,True,False,76995.0,False,True,False,False,False,0,1,91,5,4137,0,1782,1606,1012,80,498,0,16,176,2,11,4,9,1,0
19,19,2278,39,True,False,False,False,False,33812.0,True,False,False,False,False,1,0,86,6,4282,0,133,94,4,17,19,30,24,39,2,2,1,3,0,0
20,20,9360,42,False,False,True,False,False,37040.0,False,True,False,False,False,0,0,41,8,4369,0,316,268,86,2,73,69,38,48,1,4,2,5,0,0
21,21,5376,45,False,False,True,False,False,2447.0,False,True,False,False,False,1,0,42,1,4218,0,1730,1729,1,1,1725,1,1,1,15,0,28,0,0,0
22,22,1993,75,False,False,False,False,True,58607.0,False,True,False,False,False,0,1,63,8,4232,0,972,953,867,0,86,0,0,19,3,2,3,9,1,0
23,23,4047,70,False,False,False,False,True,65324.0,False,True,False,False,False,0,1,0,4,3848,0,544,539,384,0,102,21,32,5,3,6,2,9,0,0
24,24,1409,73,False,False,True,False,False,40689.0,False,False,True,False,False,0,1,69,8,4147,0,444,345,270,3,27,39,6,99,7,7,1,5,0,0
25,25,7892,55,False,False,True,False,False,18589.0,True,False,False,False,False,0,0,89,7,4222,0,75,62,6,4,25,15,12,13,2,2,1,3,0,0
26,26,2404,48,False,False,True,False,False,53359.0,False,True,False,False,False,1,1,4,7,4077,0,257,216,173,4,30,3,6,41,4,5,1,4,0,0
27,27,5255,38,False,False,True,False,False,52028.5,True,False,False,False,False,1,0,19,1,4173,0,637,275,5,1,3,3,263,362,0,27,0,0,0,0
28,28,9422,35,False,False,True,False,False,38360.0,False,True,False,False,False,1,0,26,3,4073,0,131,121,36,2,42,20,21,10,2,2,1,4,0,0
29,29,1966,59,False,False,False,False,True,84618.0,False,True,False,False,False,0,0,96,2,3898,0,1672,1672,684,100,801,21,66,0,1,6,9,10,1,0
30,30,6864,35,False,False,False,True,False,10979.0,False,False,False,True,False,0,0,34,5,3717,0,30,26,8,4,10,2,2,4,2,3,0,3,0,0
31,31,3033,61,False,False,False,True,False,38620.0,False,False,True,False,False,0,0,56,3,4093,0,318,229,112,17,44,34,22,89,1,2,5,3,0,0
32,32,5710,54,False,False,True,False,False,40548.0,False,False,True,False,False,0,1,31,5,4306,0,120,117,110,0,5,2,0,3,2,2,1,4,1,0
33,33,7373,72,False,False,False,False,True,46610.0,False,False,False,True,False,0,2,8,6,4287,0,302,259,96,12,96,33,22,43,6,4,1,6,0,1
34,34,8755,78,False,False,False,True,False,68657.0,False,True,False,False,False,0,0,4,7,4173,0,1196,1174,482,34,471,119,68,22,1,3,5,9,0,0
35,35,10738,73,False,False,False,True,False,49389.0,True,False,False,False,False,1,1,55,7,3983,0,65,62,40,0,19,2,1,3,1,2,0,3,0,0
36,36,4339,54,False,False,False,False,True,67353.0,False,True,False,False,False,0,1,37,2,3859,0,913,878,702,17,151,0,8,35,5,5,6,12,0,0
37,37,10755,48,True,False,False,False,False,23718.0,False,True,False,False,False,1,0,76,7,3979,0,81,45,6,3,14,15,7,36,3,3,1,2,0,0
38,38,8595,51,False,False,True,False,False,42429.0,False,False,False,False,True,0,1,99,5,3817,0,67,63,55,0,6,2,0,4,2,1,1,3,0,0
